企业名,成立,地区,赛道
六分科技,2018,北京,智慧出行
术锐技术,2014,北京,创新医疗器械
JBD,2015,上海,新型显示
主线科技,2017,北京,自动驾驶
士兰明镓*,2018,厦门,集成电路
嘉越医药,2017,广州,创新药
苇渡科技*,2022,上海,新能源汽车
奕成科技*,2017,成都,集成电路
e袋洗,2014,北京,生活服务
普米斯,2018,珠海,创新药
天能新材料*,2018,湖州,新材料
环晟新能源,2015,无锡,清洁能源
奇点能源,2018,西安,清洁能源
纳米维景,2014,北京,创新医疗器械
正腾康生物,2020,上海,创新药
同润生物医药,2018,上海,创新药
携旅,2016,广州,旅游体育
长木谷,2018,北京,创新医疗器械
新瑞立*,2016,温州,汽车服务
宝济药业,2019,上海,创新药
胖虎科技,2015,北京,新零售
升哲科技,2014,北京,智慧城市
摩珈生物,2018,广安,合成生物
康龙生物*,2020,宁波,创新药
蔚领时代,2019,北京,数字文娱
极目生物,2019,上海,创新药
HALARA,2020,北京,新零售
百力司康,2017,杭州,创新药
优点科技,2014,深圳,智能硬件
全域医疗,2015,北京,数字医疗
新创元半导体*,2021,武汉,集成电路
行芯科技,2018,杭州,集成电路
来未来科技,2020,杭州,数字医疗
瑶芯微,2019,上海,集成电路
态创生物,2021,广州,合成生物
银诺生物,2020,上海,创新药
予果生物,2017,北京,数字医疗
能量奇点,2021,上海,清洁能源
芯爱科技*,2021,南京,集成电路
原能生物,2017,上海,高端智能装备与器件
仙工智能,2020,上海,工业互联网
英诺湖医药,2020,杭州,创新药
炎明生物*,2020,北京,创新药
拓烯科技*,2020,衢州,新材料
柯泰亚生物*,2021,上海,合成生物
励齿医疗,2016,上海,产业互联网
太蓝新能源*,2021,重庆,动力电池
橙仕汽车*,2018,济南,新能源汽车
安锐生物*,2020,广州,创新药
辉大基因,2018,上海,创新药
应世生物,2020,南京,创新药
电科星拓*,2019,成都,集成电路
欧冶半导体*,2021,深圳,集成电路
嘉晨西海*,2019,杭州,创新药
楚微半导体,2019,长沙,集成电路
新声半导体*,2021,深圳,集成电路
司凯奇,2019,南京,新能源汽车
清纯半导体*,2021,宁波,集成电路
晶瑞微电子*,2019,潜江,新型显示
力码科技,2017,北京,金融科技
昕原半导体,2019,上海,集成电路
鑫元硅材料,2021,包头,清洁能源
捷盟智能,2019,广州,高端智能装备与器件
昕感科技*,2020,北京,集成电路
牛卡福网络,2016,北京,汽车服务
新格元,2018,苏州,数字医疗
格博生物,2020,杭州,创新药
青禾晶元*,2020,北京,集成电路
臻亿医疗*,2019,南通,创新医疗器械
万声音乐,2020,深圳,数字文娱
塔斯克*,2021,佛山,机器人
易慕峰*,2020,苏州,创新药
联仁健康,2019,上海,数字医疗
汉可智能*,2022,九江,高端智能装备与器件
橡鹭科技,2021,北京,机器人
艾博兹医药,2021,上海,创新药
速回收,2015,深圳,新零售
欧税通,2019,深圳,企业数字运营
千挂科技,2021,北京,自动驾驶
探马,2020,北京,企业数字运营
白兔控股*,2020,成都,数字文娱
科润新材料*,2019,苏州,新材料
宝瀛气体*,2021,南京,高端智能装备与器件
德米特*,2020,马鞍山,农业科技
舜铭存储*,2023,无锡,集成电路
圆周率半导体,2021,南通,集成电路
高能时代能源*,2021,珠海,动力电池
锐正基因,2021,苏州,创新药
乐聚机器人,2016,深圳,机器人
芯视佳,2020,深圳,集成电路
伯仪生物*,2019,北京,创新药
安龙生物*,2019,北京,创新药
高灯科技,2017,深圳,企业数字运营
易冲科技*,2016,成都,集成电路
宜宾锂宝*,2017,宜宾,新材料
微纳星空,2017,北京,商业航天
凯莱英生物,2022,上海,创新药
峰飞航空,2019,上海,无人机
盈芯半导体,2021,长沙,集成电路
太极图形,2021,北京,人工智能
艾深斯科技*,2019,上海,集成电路
格威半导体*,2019,厦门,集成电路
为方能源*,2022,深圳,清洁能源
销氪信息,2019,上海,企业数字运营
中科昊芯*,2019,北京,集成电路
博思数采*,2019,福州,企业数字运营
龙讯旷腾*,2021,深圳,工业互联网
OH Credit*,2021,深圳,金融科技
鹏瞰科技,2019,上海,集成电路
橙帆医药,2021,上海,创新药
来赞宝,2019,杭州,企业数字运营
运满满冷运*,2021,南京,智慧物流
